query	arm	state	wall_ms	wall_s	src_out	out_rows	tag	ts
q9	forst-rs-ffm-local	FINISHED	1285487	1285.5	98000000	91813372	pmc1u-q9-forst-rs-ffm-local	20260615T180703
q9	rocksdb	FINISHED	1057380	1057.4	98000000	91813372	pmc1u-q9-rocksdb	20260615T182526
q9	forst-local	FINISHED	1981991	1982.0	98000000	91813372	pmc1u-q9-forst-local	20260615T185853
q8	forst-rs-ffm-local	FINISHED	46748	46.7	3065042	3064481	pmc1u-q8-forst-rs-ffm-local	20260615T190040
q8	rocksdb	FINISHED	44346	44.3	3064982	3064413	pmc1u-q8-rocksdb	20260615T190200
q8	forst-local	FINISHED	41219	41.2	3064683	3064421	pmc1u-q8-forst-local	20260615T190320
q12	forst-rs-ffm-local	FINISHED	43632	43.6	92000000	92000000	pmc1u-q12-forst-rs-ffm-local	20260615T190440
q12	rocksdb	FINISHED	39649	39.6	92000000	92000000	pmc1u-q12-rocksdb	20260615T190540
q12	forst-local	FINISHED	43853	43.9	92000000	92000000	pmc1u-q12-forst-local	20260615T190701
q17	forst-rs-ffm-local	FINISHED	333664	333.7	92000000	92000000	pmc1u-q17-forst-rs-ffm-local	20260615T191320
q17	rocksdb	FINISHED	73868	73.9	92000000	92000000	pmc1u-q17-rocksdb	20260615T191501
q17	forst-local	FINISHED	275356	275.4	92000000	92000000	pmc1u-q17-forst-local	20260615T192005
q11	forst-rs-ffm-local	FINISHED	219858	219.9	92000000	92000000	pmc1u-q11-forst-rs-ffm-local	20260615T192406
q11	rocksdb	FINISHED	106994	107.0	92000000	92000000	pmc1u-q11-rocksdb	20260615T192626
q11	forst-local	FINISHED	133093	133.1	92000000	92000000	pmc1u-q11-forst-local	20260615T192906
q18	forst-rs-ffm-local	FINISHED	199070	199.1	92000000	92000000	pmc1u-q18-forst-rs-ffm-local	20260615T193247
q18	rocksdb	FINISHED	360422	360.4	92000000	92000000	pmc1u-q18-rocksdb	20260615T193908
q18	forst-local	FINISHED	441683	441.7	92000000	92000000	pmc1u-q18-forst-local	20260615T194650
q19	forst-rs-ffm-local	FINISHED	238595	238.6	92000000	92000000	pmc1u-q19-forst-rs-ffm-local	20260615T195116
q19	rocksdb	FINISHED	305525	305.5	92000000	92000000	pmc1u-q19-rocksdb	20260615T195658
q19	forst-local	FINISHED	272445	272.4	92000000	92000000	pmc1u-q19-forst-local	20260615T200159
q4	forst-rs-ffm-local	FINISHED	450355	450.4	98000000	25843878	pmc1u-q4-forst-rs-ffm-local	20260615T201001
q4	rocksdb	FINISHED	503015	503.0	98000000	177629788	pmc1u-q4-rocksdb	20260615T201909
q4	forst-local	RESTARTING	1644622	1644.6	0	-	pmc1u-q4-forst-local	20260615T204656
q11	forst-rs-ffm-local	FINISHED	208858	208.9	92000000	92000000	pmc1u-q11-forst-rs-ffm-local	20260615T221752
q17	forst-rs-ffm-local	FINISHED	217948	217.9	92000000	92000000	pmc1u-q17-forst-rs-ffm-local	20260615T222153
q8	forst-rs-ffm-local	FINISHED	50741	50.7	3064737	3064465	pmc1u-q8-forst-rs-ffm-local	20260615T222314
q12	forst-rs-ffm-local	FINISHED	57670	57.7	92000000	92000000	pmc1u-q12-forst-rs-ffm-local	20260615T222434
q18	forst-rs-ffm-local	FINISHED	442626	442.6	92000000	92000000	pmc1u-q18-forst-rs-ffm-local	20260615T223235
q4	forst-rs-ffm-local	FINISHED	1069885	1069.9	98000000	25830256	pmc1u-q4-forst-rs-ffm-local	20260615T225129
q7	forst-rs-ffm-local	FINISHED	947823	947.8	92000136	92000002	pmc1u-q7-forst-rs-ffm-local	20260615T230752
q9	forst-rs-ffm-local	NO_RESULT	-	-	-	-	pmc1u-q9-forst-rs-ffm-local	20260615T231238
q19	forst-rs-ffm-local	NO_RESULT	-	-	-	-	pmc1u-q19-forst-rs-ffm-local	20260615T231817
q20	forst-rs-ffm-local	FINISHED	1195228	1195.2	93201404	93201404	pmc1u-q20-forst-rs-ffm-local	20260615T233909
q0	forst-rs-ffm-local	FINISHED	30906	30.9	0	100000000	pmc1u-q0-forst-rs-ffm-local	20260615T234023
q1	forst-rs-ffm-local	FINISHED	30388	30.4	0	100000000	pmc1u-q1-forst-rs-ffm-local	20260615T234123
q2	forst-rs-ffm-local	FINISHED	28094	28.1	0	100000000	pmc1u-q2-forst-rs-ffm-local	20260615T234223
q3	forst-rs-ffm-local	FINISHED	40661	40.7	2201068	2201068	pmc1u-q3-forst-rs-ffm-local	20260615T234343
q5	forst-rs-ffm-local	NO_RESULT	-	-	-	-	pmc1u-q5-forst-rs-ffm-local	20260615T234955
q10	forst-rs-ffm-local	FINISHED	124975	125.0	20	100000000	pmc1u-q10-forst-rs-ffm-local	20260615T235235
q13	forst-rs-ffm-local	FINISHED	29590	29.6	0	100000000	pmc1u-q13-forst-rs-ffm-local	20260615T235336
q14	forst-rs-ffm-local	FINISHED	29649	29.6	0	100000000	pmc1u-q14-forst-rs-ffm-local	20260615T235436
q15	forst-rs-ffm-local	FINISHED	176779	176.8	92000000	92000000	pmc1u-q15-forst-rs-ffm-local	20260615T235757
q16	forst-rs-ffm-local	FINISHED	466161	466.2	92000000	92000000	pmc1u-q16-forst-rs-ffm-local	20260616T000618
q21	forst-rs-ffm-local	FINISHED	53239	53.2	0	100000000	pmc1u-q21-forst-rs-ffm-local	20260616T000739
q22	forst-rs-ffm-local	FINISHED	43959	44.0	0	100000000	pmc1u-q22-forst-rs-ffm-local	20260616T000859
q8	forst-rs-ffm-local	NO_RESULT	-	-	-	-	p1g-q8-forst-rs-ffm-local	20260617T160839
q8	forst-rs-ffm-local	NO_RESULT	-	-	-	-	p1g-q8-forst-rs-ffm-local	20260617T160909
q8	forst-rs-ffm-local	NO_RESULT	-	-	-	-	p1g-q8-forst-rs-ffm-local	20260617T161016
q8	forst-rs-ffm-local	FINISHED	48735	48.7	3064716	3064485	p1g-q8-forst-rs-ffm-local	20260617T161305
q12	forst-rs-ffm-local	FINISHED	44652	44.7	92000000	92000000	p1g-q12-forst-rs-ffm-local	20260617T161455
q11	forst-rs-ffm-local	FINISHED	283942	283.9	92000000	92000000	p1g-q11-forst-rs-ffm-local	20260617T162022
q11	forst-rs-ffm-local	FINISHED	289948	289.9	92000000	92000000	p1g-q11-forst-rs-ffm-local	20260617T162552
q17	forst-rs-ffm-local	FINISHED	236945	236.9	92000000	92000000	p1g-q17-forst-rs-ffm-local	20260617T163027
q18	forst-rs-ffm-local	FINISHED	651537	651.5	37425158	37425158	p1g-q18-forst-rs-ffm-local	20260617T164156
q18	forst-rs-ffm-local	FINISHED	470422	470.4	92000000	92000000	p1g-q18-forst-rs-ffm-local	20260617T170601
q19	forst-rs-ffm-local	FINISHED	565493	565.5	92000000	92000000	p1g-q19-forst-rs-ffm-local	20260617T171629
q4	forst-rs-ffm-local	FINISHED	400129	400.1	98000000	25848286	p1g-q4-forst-rs-ffm-local	20260617T172425
q7	forst-rs-ffm-local	FINISHED	1176119	1176.1	92000164	92000002	p1g-q7-forst-rs-ffm-local	20260617T174452
